elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
0.02,1354150,3784.9560546875,3778.158447265625,3786.954345703125,3787.154052734375,3778.18603515625,3786.970703125,3793.6728515625,3784.89208984375,3778.23828125,3786.968994140625,3787.232666015625,3778.240478515625,3786.8828125,3793.680908203125,26496.13671875,26496.1796875,-9.497566223144531,-9.721906661987305,38.12078857421875,1,True,ON,0,
0.08,1354201,3784.893310546875,3778.189453125,3786.977783203125,3787.190185546875,3778.257080078125,3786.820556640625,3793.704833984375,3784.904296875,3778.217041015625,3786.981689453125,3787.202392578125,3778.226318359375,3786.839111328125,3793.737060546875,26496.12109375,26496.12109375,-9.765787124633789,-9.742384910583496,38.12078857421875,1,True,ON,0,
0.13,1354252,3784.8984375,3778.336669921875,3787.034912109375,3787.180419921875,3778.23046875,3786.830078125,3793.813720703125,3784.8974609375,3778.259033203125,3787.014892578125,3787.216552734375,3778.213623046875,3786.91064453125,3793.784423828125,26496.2890625,26496.23828125,-9.363456726074219,-9.627209663391113,38.12078857421875,1,True,ON,0,
0.18,1354303,3784.864501953125,3778.255126953125,3786.92431640625,3787.18896484375,3778.320556640625,3786.900634765625,3793.84716796875,3784.853759765625,3778.2509765625,3786.95751953125,3787.20556640625,3778.270263671875,3786.84619140625,3793.8330078125,26496.2421875,26496.205078125,-9.783668518066406,-9.734949111938477,38.12078857421875,1,True,ON,0,
0.23,1354354,3784.8369140625,3778.244384765625,3787.089111328125,3787.0390625,3778.25390625,3786.88427734375,3793.76953125,3784.88427734375,3778.249755859375,3786.9951171875,3787.136474609375,3778.287841796875,3786.922607421875,3793.71142578125,26496.201171875,26496.20703125,-9.59144401550293,-9.587773323059082,38.12078857421875,1,True,ON,0,
0.28,1354405,3784.861328125,3778.201904296875,3787.000244140625,3787.244140625,3778.148681640625,3786.9306640625,3793.666015625,3784.877685546875,3778.230712890625,3786.998046875,3787.21044921875,3778.2099609375,3786.978515625,3793.687255859375,26496.193359375,26496.19921875,-9.96695327758789,-9.65960693359375,38.12078857421875,1,True,ON,0,
0.33,1354456,3784.896484375,3778.1650390625,3787.03271484375,3787.18798828125,3778.093505859375,3786.9892578125,3793.721923828125,3784.892578125,3778.2109375,3787.003173828125,3787.228271484375,3778.17431640625,3786.91015625,3793.78564453125,26496.169921875,26496.205078125,-10.074241638183594,-9.874968528747559,38.12078857421875,1,True,ON,0,
0.38,1354509,3784.864501953125,3778.291015625,3787.014892578125,3787.22509765625,3778.142333984375,3786.908203125,3793.777099609375,3784.89794921875,3778.224853515625,3787.01171875,3787.24169921875,3778.152587890625,3786.96337890625,3793.764892578125,26496.2578125,26496.22265625,-9.886487007141113,-9.850227355957031,38.12078857421875,1,True,ON,0,
0.44,1354560,3784.842041015625,3778.233642578125,3786.96923828125,3787.242919921875,3778.104248046875,3786.962158203125,3793.721923828125,3784.87939453125,3778.229736328125,3787.009521484375,3787.233154296875,3778.19970703125,3786.913818359375,3793.801025390625,26496.275390625,26496.25390625,-9.153349876403809,-9.5167875289917,38.12078857421875,1,True,ON,0,
0.49,1354612,3784.91357421875,3778.27099609375,3786.978271484375,3787.246337890625,3778.147705078125,3786.98779296875,3793.719482421875,3784.890625,3778.256591796875,3786.9384765625,3787.220703125,3778.181396484375,3786.93505859375,3793.767578125,26496.1953125,26496.220703125,-9.761317253112793,-9.521184921264648,38.12078857421875,1,True,ON,0,
0.54,1354662,3784.85595703125,3778.281494140625,3786.8984375,3787.153076171875,3778.126708984375,3787.009765625,3793.642333984375,3784.897216796875,3778.26025390625,3786.972900390625,3787.193603515625,3778.1982421875,3786.934326171875,3793.71435546875,26496.169921875,26496.185546875,-9.046061515808105,-9.504324913024902,38.12078857421875,1,True,ON,0,
0.59,1354714,3784.98681640625,3778.243408203125,3786.962890625,3787.24560546875,3778.22509765625,3786.87890625,3793.99560546875,3784.933349609375,3778.236328125,3786.926513671875,3787.21630859375,3778.251708984375,3786.84228515625,3793.89794921875,26496.30859375,26496.23828125,-9.65402889251709,-9.451410293579102,38.12078857421875,1,True,ON,0,
0.64,1354765,3784.78662109375,3778.237060546875,3786.98779296875,3787.169677734375,3778.214599609375,3786.880859375,3793.8681640625,3784.90576171875,3778.232666015625,3786.997314453125,3787.194580078125,3778.237060546875,3786.866943359375,3793.906005859375,26496.33984375,26496.337890625,-9.810491561889648,-9.624604225158691,38.12078857421875,1,True,ON,0,
0.69,1354816,3784.851806640625,3778.257080078125,3787.0380859375,3787.26318359375,3778.20166015625,3786.830078125,3793.783447265625,3784.875732421875,3778.229248046875,3786.978271484375,3787.219970703125,3778.198974609375,3786.787109375,3793.86376953125,26496.12890625,26496.185546875,-9.41710090637207,-9.569337844848633,38.12078857421875,1,True,ON,0,
0.74,1354867,3784.97705078125,3778.25830078125,3786.90771484375,3787.209228515625,3778.3310546875,3786.652099609375,3793.967041015625,3784.884521484375,3778.2626953125,3786.95068359375,3787.183349609375,3778.282470703125,3786.66455078125,3793.9521484375,26496.1796875,26496.154296875,-9.385807991027832,-9.612813949584961,38.12078857421875,1,True,ON,0,
0.79,1354918,3784.875,3778.2041015625,3786.96923828125,3787.218505859375,3778.197509765625,3786.86279296875,3793.804443359375,3784.905029296875,3778.22119140625,3786.942138671875,3787.23291015625,3778.22412109375,3786.83251953125,3793.84619140625,26496.203125,26496.2109375,-9.627206802368164,-9.652262687683105,38.12078857421875,1,True,ON,0,
0.84,1354968,3784.842041015625,3778.130859375,3786.989013671875,3787.20458984375,3778.205078125,3786.82373046875,3793.7080078125,3784.895751953125,3778.212646484375,3786.96240234375,3787.23095703125,3778.210693359375,3786.866455078125,3793.732421875,26496.064453125,26496.16015625,-9.725554466247559,-9.548651695251465,38.12078857421875,1,True,ON,0,
