elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
0.03,110444,3184.197998046875,3219.057861328125,3265.232177734375,3274.202392578125,3255.22216796875,3341.281982421875,3407.706298828125,3184.2373046875,3219.08642578125,3265.186279296875,3274.199951171875,3255.2548828125,3341.263916015625,3407.706298828125,22946.921875,22946.935546875,-8.87171745300293,-8.938090324401855,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.08,110495,3184.18408203125,3218.99560546875,3265.21142578125,3274.118896484375,3255.25390625,3341.255859375,3407.703125,3184.2451171875,3219.051025390625,3265.158203125,3274.18994140625,3255.224609375,3341.260009765625,3407.701171875,22946.830078125,22946.865234375,-8.232458114624023,-8.712577819824219,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.13,110545,3184.21923828125,3219.064208984375,3265.134521484375,3274.254150390625,3255.11865234375,3341.26025390625,3407.718017578125,3184.239013671875,3219.088134765625,3265.1640625,3274.187744140625,3255.185546875,3341.253173828125,3407.718994140625,22946.86328125,22946.837890625,-8.268220901489258,-8.848432540893555,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.17,110595,3184.30859375,3219.08544921875,3265.1728515625,3274.095458984375,3255.232177734375,3341.300048828125,3407.623779296875,3184.2861328125,3219.094970703125,3265.183837890625,3274.151123046875,3255.22314453125,3341.291748046875,3407.689208984375,22946.919921875,22946.91796875,-9.256168365478516,-8.984691619873047,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.22,110646,3184.298828125,3219.113037109375,3265.16650390625,3274.225830078125,3255.196044921875,3341.279541015625,3407.5986328125,3184.279296875,3219.095458984375,3265.1484375,3274.205078125,3255.25,3341.293701171875,3407.664306640625,22946.90625,22946.939453125,-9.238286972045898,-9.008781433105469,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.27,110697,3184.24462890625,3219.104736328125,3265.21240234375,3274.12548828125,3255.179443359375,3341.285888671875,3407.705322265625,3184.23779296875,3219.106201171875,3265.15283203125,3274.170166015625,3255.251220703125,3341.327880859375,3407.616943359375,22946.8828125,22946.865234375,-8.69737434387207,-8.986427307128906,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.33,110748,3184.26904296875,3219.018798828125,3265.195556640625,3274.226806640625,3255.287109375,3341.141357421875,3407.817138671875,3184.247314453125,3219.06787109375,3265.164306640625,3274.187255859375,3255.2421875,3341.223876953125,3407.715087890625,22946.84765625,22946.84375,-8.7197265625,-8.779942512512207,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.38,110799,3184.177734375,3218.99755859375,3265.291259765625,3274.31591796875,3255.267578125,3341.223876953125,3407.63818359375,3184.22412109375,3219.034912109375,3265.20361328125,3274.1865234375,3255.246826171875,3341.32763671875,3407.64501953125,22946.869140625,22946.861328125,-9.309812545776367,-8.802152633666992,29.683990478515625,0,False,OFF,0,REST,2,0.000,
0.43,110850,3184.2724609375,3219.066650390625,3265.152099609375,3274.32470703125,3255.1767578125,3341.288330078125,3407.5849609375,3184.241943359375,3219.088134765625,3265.211669921875,3274.199951171875,3255.218017578125,3341.315673828125,3407.600830078125,22946.876953125,22946.865234375,-8.934303283691406,-8.966642379760742,29.661102294921875,0,False,OFF,0,REST,2,0.000,
0.48,110901,3184.195556640625,3219.124755859375,3265.185302734375,3274.0869140625,3255.274658203125,3341.428466796875,3407.619384765625,3184.21533203125,3219.083740234375,3265.21923828125,3274.17578125,3255.240234375,3341.347412109375,3407.611572265625,22946.90234375,22946.884765625,-8.451505661010742,-8.824410438537598,29.661102294921875,0,False,OFF,0,REST,2,0.000,
