elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
0.03,63748,3597.77392578125,3572.999267578125,3593.447998046875,3603.88818359375,3584.269287109375,3594.103271484375,3604.213134765625,3597.88623046875,3573.0498046875,3593.513916015625,3604.0693359375,3584.427001953125,3594.210693359375,3604.23974609375,25151.3984375,25151.052734375,-1859.515625,-1859.6817626953125,30.165740966796875,1,True,ON,0,
0.08,63799,3597.979248046875,3573.22509765625,3593.58740234375,3604.2529296875,3584.65478515625,3594.3291015625,3604.3623046875,3598.015869140625,3573.1826171875,3593.64892578125,3604.213134765625,3584.567138671875,3594.3056640625,3604.387451171875,25152.50390625,25152.1328125,-1855.4163818359375,-1860.614990234375,30.165740966796875,1,True,ON,0,
0.13,63851,3598.304931640625,3573.40966796875,3593.86962890625,3604.537841796875,3584.78955078125,3594.705322265625,3604.770263671875,3598.14013671875,3573.3623046875,3593.767333984375,3604.395751953125,3584.670654296875,3594.56494140625,3604.590087890625,25153.490234375,25153.12890625,-1859.1982421875,-1860.7801513671875,30.188751220703125,1,True,ON,0,
0.18,63901,3598.36669921875,3573.5947265625,3594.11865234375,3604.666259765625,3585.01123046875,3594.888916015625,3604.767822265625,3598.2880859375,3573.47607421875,3593.94580078125,3604.513671875,3584.83154296875,3594.715576171875,3604.684814453125,25154.380859375,25154.07421875,-1864.54931640625,-1860.15185546875,30.188751220703125,1,True,ON,0,
0.23,63952,3598.62744140625,3573.64697265625,3594.2333984375,3604.833251953125,3585.02392578125,3594.98095703125,3604.906982421875,3598.41015625,3573.606201171875,3594.076416015625,3604.654541015625,3584.99072265625,3594.840576171875,3604.80224609375,25155.3828125,25155.021484375,-1863.673095703125,-1859.8018798828125,30.188751220703125,1,True,ON,0,
0.28,64003,3598.667724609375,3573.89892578125,3594.310546875,3604.83642578125,3585.31689453125,3595.10205078125,3605.056640625,3598.53759765625,3573.766845703125,3594.23486328125,3604.77197265625,3585.095947265625,3594.99609375,3604.891845703125,25156.232421875,25156.00390625,-1863.8294677734375,-1860.19189453125,30.188751220703125,1,True,ON,0,
0.33,64054,3598.63818359375,3574.001708984375,3594.3740234375,3604.964111328125,3585.21826171875,3595.037353515625,3605.136962890625,3598.660400390625,3573.88720703125,3594.3251953125,3604.9130859375,3585.231201171875,3595.044189453125,3604.977783203125,25157.111328125,25156.87109375,-1863.9681396484375,-1859.7493896484375,30.188751220703125,1,True,ON,0,
0.38,64105,3598.9072265625,3574.1259765625,3594.59912109375,3605.166748046875,3585.51220703125,3595.246826171875,3605.2255859375,3598.7763671875,3574.021728515625,3594.46728515625,3605.050048828125,3585.3759765625,3595.083251953125,3605.1611328125,25158.0859375,25157.73046875,-1859.5557861328125,-1859.9493408203125,30.188751220703125,1,True,ON,0,
0.43,64156,3599.005126953125,3574.22021484375,3594.64306640625,3605.1201171875,3585.561279296875,3595.248046875,3605.301025390625,3598.939697265625,3574.114501953125,3594.582763671875,3605.1328125,3585.504638671875,3595.2890625,3605.2587890625,25159.05859375,25158.611328125,-1855.6397705078125,-1859.9503173828125,30.188751220703125,1,True,ON,0,
0.48,64207,3599.0966796875,3574.349365234375,3594.681640625,3605.189208984375,3585.606689453125,3595.390625,3605.293701171875,3599.066650390625,3574.287353515625,3594.717529296875,3605.2890625,3585.5888671875,3595.415771484375,3605.362060546875,25159.87109375,25159.544921875,-1858.7423095703125,-1859.955078125,30.188751220703125,1,True,ON,0,
0.53,64258,3599.17333984375,3574.2919921875,3594.84912109375,3605.4541015625,3585.673583984375,3595.575439453125,3605.52587890625,3599.19921875,3574.387939453125,3594.842041015625,3605.408203125,3585.74755859375,3595.57373046875,3605.49462890625,25160.8515625,25160.427734375,-1856.0198974609375,-1859.982666015625,30.188751220703125,1,True,ON,0,
0.59,64308,3599.17431640625,3574.5859375,3594.830322265625,3605.4912109375,3585.786865234375,3595.711669921875,3605.508056640625,3599.288818359375,3574.543212890625,3594.9853515625,3605.567626953125,3585.839111328125,3595.7060546875,3605.59716796875,25161.603515625,25161.251953125,-1857.7186279296875,-1859.850830078125,30.188751220703125,1,True,ON,0,
0.64,64360,3599.341552734375,3574.614501953125,3594.985595703125,3605.75146484375,3585.959228515625,3595.7734375,3605.685546875,3599.44677734375,3574.642822265625,3595.114990234375,3605.71337890625,3586.005615234375,3595.838134765625,3605.7197265625,25162.48046875,25162.10546875,-1855.10791015625,-1860.3778076171875,30.165740966796875,1,True,ON,0,
0.69,64411,3599.655517578125,3574.8720703125,3595.28173828125,3605.8662109375,3586.234130859375,3596.1474609375,3605.872802734375,3599.54541015625,3574.759765625,3595.2275390625,3605.774169921875,3586.10400390625,3595.957763671875,3605.807861328125,25163.271484375,25162.966796875,-1857.571044921875,-1860.5758056640625,30.165740966796875,1,True,ON,0,
0.74,64461,3599.8544921875,3575.075439453125,3595.431640625,3606.1796875,3586.369873046875,3596.186279296875,3606.02001953125,3599.69384765625,3574.897216796875,3595.354248046875,3605.979736328125,3586.19873046875,3596.09130859375,3605.9189453125,25164.0859375,25163.796875,-1862.9130859375,-1859.9913330078125,30.165740966796875,1,True,ON,0,
