elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
0.02,44681,3893.243896484375,3955.38134765625,3965.679443359375,3965.31201171875,3962.378662109375,3978.15283203125,4011.18994140625,3893.210693359375,3955.44091796875,3965.6689453125,3965.314697265625,3962.42236328125,3978.165771484375,4011.260009765625,27731.435546875,27731.712890625,-2362.80078125,-2363.645263671875,29.729766845703125,1,True,ON,0,
0.07,44731,3893.070556640625,3955.38232421875,3965.525634765625,3965.17578125,3962.172119140625,3978.04931640625,4011.10693359375,3893.086669921875,3955.395751953125,3965.504150390625,3965.190673828125,3962.27099609375,3978.009033203125,4011.15380859375,27730.611328125,27730.83984375,-2361.5400390625,-2362.3935546875,29.729766845703125,1,True,ON,0,
0.12,44782,3893.06884765625,3955.218994140625,3965.307373046875,3964.981689453125,3962.224609375,3978.04296875,4010.931396484375,3893.03173828125,3955.296875,3965.332275390625,3965.158203125,3962.16162109375,3978.03125,4010.947998046875,27729.90234375,27730.15625,-2360.525146484375,-2360.915771484375,29.729766845703125,1,True,ON,0,
0.17,44833,3892.893798828125,3955.004150390625,3965.30224609375,3965.043212890625,3961.987060546875,3977.88330078125,4010.689697265625,3892.895751953125,3955.107421875,3965.2763671875,3965.00927734375,3962.033447265625,3977.994873046875,4010.7607421875,27729.041015625,27729.345703125,-2359.555419921875,-2360.0283203125,29.729766845703125,1,True,ON,0,
0.22,44884,3892.780029296875,3955.014892578125,3965.20947265625,3964.86962890625,3961.886962890625,3977.939453125,4010.658203125,3892.76611328125,3955.00732421875,3965.177490234375,3964.916259765625,3961.924560546875,3977.905029296875,4010.65478515625,27728.349609375,27728.564453125,-2357.85205078125,-2358.696044921875,29.729766845703125,1,True,ON,0,
0.27,44934,3892.639404296875,3954.743408203125,3965.056884765625,3964.776123046875,3961.76953125,3977.65380859375,4010.5205078125,3892.680419921875,3954.86767578125,3965.080322265625,3964.79150390625,3961.794921875,3977.739013671875,4010.6044921875,27727.4609375,27727.810546875,-2358.111572265625,-2357.956298828125,29.729766845703125,1,True,ON,0,
0.33,44986,3892.509521484375,3954.71044921875,3964.873779296875,3964.60302734375,3961.7001953125,3977.460693359375,4010.392822265625,3892.521484375,3954.768798828125,3964.94873046875,3964.665283203125,3961.731689453125,3977.581787109375,4010.4404296875,27726.6328125,27726.94140625,-2355.572265625,-2356.431640625,29.729766845703125,1,True,ON,0,
0.38,45037,3892.465087890625,3954.698974609375,3964.84521484375,3964.4892578125,3961.57958984375,3977.41455078125,4010.38427734375,3892.45947265625,3954.702880859375,3964.867919921875,3964.55126953125,3961.650146484375,3977.465087890625,4010.363037109375,27725.9921875,27726.248046875,-2354.463623046875,-2355.7001953125,29.729766845703125,1,True,ON,0,
0.43,45088,3892.293212890625,3954.45703125,3964.806396484375,3964.2802734375,3961.490478515625,3977.37060546875,4010.2333984375,3892.31005859375,3954.563232421875,3964.780029296875,3964.38427734375,3961.5439453125,3977.4541015625,4010.248779296875,27725.283203125,27725.541015625,-2353.78857421875,-2354.803955078125,29.729766845703125,1,True,ON,0,
0.48,45139,3892.13720703125,3954.48876953125,3964.5537109375,3964.190185546875,3961.492919921875,3977.244140625,4010.312744140625,3892.184326171875,3954.50830078125,3964.619873046875,3964.28515625,3961.478759765625,3977.32373046875,4010.18994140625,27724.58984375,27724.771484375,-2353.837646484375,-2353.978271484375,29.729766845703125,1,True,ON,0,
